Exporter Name,transaction_count,years_active,months_active,countries_served,drug_substances_shipped,sku_variants_shipped,total_fob_inr,city,exporter_address,avg_monthly_shipments,reliability_score
SUN PHARMACEUTICAL INDUSTRIES LIMITED,29261,2,20,101,125,21447,138286138959.69022,"MUMBAI, MAHARASHTRA. ","ACME PLAZA, ANDHERI KURLA ROAD, ANDHERI EAST",1463.05,90.7
AUROBINDO PHARMA LTD,36702,2,20,137,95,25899,101675771991.70477,HYDERABAD/ANDHRA PRADESH ,"PLOT NO.2, MAITRIVIHAR, BEHIND MAITRIVANAM, AMEERPET,",1835.1,87.7
DR.REDDY'S LABORATORIES LTD,17675,2,20,68,84,13301,94727455797.85585,HYDERABAD ANDHRA PRADESH ,"H.NO. 8-2-337,BESIDE TV9 OFFICE ROAD NO.3,BANJARA HILLS",883.75,86.6
CIPLA LIMITED,56427,2,20,139,122,21075,93026249065.9133,"MUMBAI, MAHARASHTRA. ","MUMBAI CENTRAL,",2821.35,80.7
ZYDUS LIFESCIENCES LIMITED,15868,2,20,71,127,10847,87628859224.39284,"AHMEDABAD,GUJARAT ","ZYDUS TOWER, SARKHEJ-GANDHINAGAR,H IGHWAY,SATELLITE CROSS ROADS,",793.4,92.6
MYLAN LABORATORIES LIMITED,17004,2,20,160,113,14164,85768731044.64926,"HYDERABAD,ANDHRA PRADESH ","564/A/22, ROAD NO.92 JUBILEE HILLS",850.2,86.2
GLENMARK PHARMACEUTICALS LIMITED,26227,2,20,93,52,12254,68794299665.75607,MUMBAI. MAHARASHTRA ,B/2 MAHALAXMI CHAMBERS 22 BHULABHAI DESAI ROAD,1311.35,87.1
HETERO LABS LIMITED,7454,2,20,143,87,3820,59343993815.2124,HYDERABAD ,"HETERO CORPORATE, NO. 7-2-A2, INDUSTRIAL ESTATE,SANATHNAGAR",372.7,85.8
INTAS PHARMACEUTICALS LIMITED,31960,2,20,104,111,15600,54293012063.00135,"AHMEDABAD, GUJARAT ","2ND FLOOR, CHINUBHAI CENTRE, OFF. NEHRU BRIDGE, ASHRAM ROAD,",1598.0,85.2
MSN LABORATORIES PRIVATE LIMITED,15040,2,20,80,50,7297,53355430484.52045,HYDERABAD. AP ,"MSN HOUSE, PLOT NO. C-24, INDUSTRIAL ESTATE, SANATH NAGAR,",752.0,80.3
MACLEODS PHARMACEUTICALS LTD,15336,2,20,165,124,11847,50072867498.32752,MUMBAI MAHARASHTRA ,"304,ATLANTA ARCADE, MAROL CHURCH RD,ANDHERI(E)",766.8,84.4
MICRO LABS LIMITED,20843,2,20,125,118,15677,47156167806.96694,"BENGALURU,KARNATAKA ","NO 31, RACE COURSE ROAD,BANGALORE",1042.15,85.3
LUPIN LIMITED,7331,2,20,105,50,5183,47066131923.44295,"MUMBAI,MAHARASHTRA ","159, C.S.T. ROAD, KALINA, SANTACRUZ (E)",366.55,88.7
GRANULES INDIA LIMITED,6704,2,20,57,18,4543,46042349467.21,"HYDERABAD, AP ","SECOND FLOOR, BLOCK-III,MY HOME HUBMADHAPUR,CYBERABAD",335.2,79.7
EUGIA PHARMA SPECIALITIES LIMITED,4097,2,20,28,46,3414,44437904340.44102,"HYDERABAD, AP. ","PLOT NO.2, MAITHRIVIHAR, AMEERPET,",204.85,82.9
ALEMBIC PHARMACEUTICALS LIMITED,10486,2,20,41,48,6424,39566616476.08,GUJARAT ,ALEMBIC ROAD VADODARA,524.3,91.0
TORRENT PHARMACEUTICALS LTD,14329,2,20,57,73,9610,38308426951.36514,AHMEDABAD. GUJARAT ,"TORRENT HOUSE, OFF. ASHRAM ROAD",716.45,92.5
GLAND PHARMA LTD,3849,2,17,69,37,1028,36399614451.94985,"HYDERABAD, ANDHRA PRADESH ","6-3-865/1/2, FLAT NO.201, GREENLAND APARTMENTS, AMEERPET,",226.41,79.5
ALKEM LABORATORIES LIMITED,11795,2,20,29,51,7591,35744217056.233765,"LOWER PAREL, MUMBAI. MAHARASHTRA ","ALKEM HOUSE, DEVASHISH ADJACENT TOMATULYA CENTRE, SENAPATI BAPAT MARG",589.75,88.6
STRIDES PHARMA SCIENCE LIMITED,6711,2,20,81,50,5433,33102041768.695545,"NAVI MUMBAI, MAHARASHTRA. ","206, DEVAVRATA, SECTOR 17, VASHI,",335.55,83.6
EMCURE PHARMACEUTICALS LIMITED,10571,2,20,124,68,5538,29131666015.65127,PUNE-MAHARASHTRA ,"T-184, MIDC, BHOSARI, PUNE",528.55,77.6
IPCA LABORATORIES LIMITED,9711,2,20,101,45,7183,25689566996.628357,"MUMBAI, MAHARASHTRA. ","48, KANDIVLI INDUSTRIAL ESTATE, KANDIVLI-(WEST),",485.55,82.2
AJANTA PHARMA LIMITED,15115,2,20,67,79,9427,25115673292.204163,MUMBAI. ,"98, GOVT.INDUSTRIAL AREA, CHARKOP, KANDIVALI(W),",755.75,86.3
MEDREICH LIMITED,7175,2,20,65,63,6235,22800599464.930523,"SEVA NAGAR, BANGALORE, KARNATAKA ","MEDREICH HOUSE, NO12/8, SARASWATHI AMMAL STREET, MARUTHI",358.75,87.4
SANDOZ PRIVATE LIMITED,4731,2,20,59,31,2166,22612926498.598774,"MUMBAI ,MAHARASHTRA ","SANDOZ HOUSE DR. A.B. ROAD, WORLI,",236.55,84.8
UNICHEM LABORATORIES LIMITED,7975,2,20,39,37,6198,21936373062.90451,"MUMBAI,MAHARASHTRA. ","UNICHEM BHAVAN, S. V. ROAD JOGESHWARI WEST",398.75,89.4
J B CHEMICALS AND PHARMACEUTICALS LIMITED,14532,2,20,70,59,7008,21808747128.492203,"MUMBAI, MAHARASHTRA. ","NEELAM CENTRE, B WING, 4TH FLOOR,HIND CYCLE ROAD, WORLI,",726.6,79.5
ANNORA PHARMA PRIVATE LIMITED,3693,2,20,15,25,1027,19409913172.93422,"SANATHNAGAR,TELANGANA ","7-2-A2, GROUND FLOOR, HETERO,CORPO RATE, INDUSTRIAL ESTATE",184.65,79.4
BIOLOGICAL E. LIMITED,1325,2,20,126,5,545,17935926566.29376,"HYDERABAD ,ANDHRA PRADESH ",18/1 3 AZAMABAD,66.25,78.9
AMNEAL PHARMACEUTICALS PRIVATE LIMITED,2595,2,20,9,27,723,15462717431.059153,"AHMEDABAD, GUJARAT ","882/1-871, NEAR KANKAVATI ,VILLAGE-RAJODA, TA. BAVLA ,",129.75,88.3
MARKSANS PHARMA LIMITED,6429,2,20,24,92,2622,14151172677.89699,"MUMBAI,MAHARASHTRA ","11TH FLOOR, LOTUS BUSINESS PARK, OFF NEW LINK ROAD, ANDHERI WEST",321.45,84.8
MANKIND PHARMA LIMITED,5436,2,20,32,67,3208,14145203575.936884,"NEW DELHI,DELHI ","208, OKHLA INDUSTRIAL ESTATE,,PHAS E III",271.8,81.2
RUBICON RESEARCH PRIVATE LIMITED,3733,2,20,10,17,1499,13672581689.396727,"BHANDUP WEST, MUMBAI ","221, GOREGAON-MULUND LINK ROAD, OFF. L.B.S. MARG,",186.65,77.8
PIRAMAL PHARMA LIMITED,2009,2,20,71,5,1144,13595613331.952919,"KURLA, MUMBAI","PIRAMAL ANANTA, PIRAMAL AGASTYA PARKKAMANI JUNCTION, LBS MARG,",100.45,77.5
PAR FORMULATIONS PRIVATE LIMITED,1777,2,20,5,12,1010,13125455797.424496,,"OLD NO.1/63, NEW NO.1/58 PUDUPAKKAMVILLAGE, VIA VANDALLUR",88.85,84.0
CAPLIN POINT LABORATORIES LIMITED,5318,2,20,21,132,1988,12396641867.878279,CHENNAI/TAMILNADU ,"NARBAVI, NO.3,LAKSHMANAN STREET, T.NAGAR,",265.9,86.0
BHARAT BIOTECH INTERNATIONAL LIMITED,533,2,20,93,1,434,12340366618.982449,,"SURVEY.NO.230,231 235, YADARAM TURKAPALLY, SHAMEERPET MANDAL",26.65,68.5
INDOCO REMEDIES LIMITED,7377,2,20,51,45,2214,11929956765.910175,MUMBAI.MAHARASHTRA ,"INDOCO HOUSE,166 CST RD.VIDYANAGRI,MARG,KALINA, SANTACRUZ (E)",368.85,82.0
WATSON PHARMA PRIVATE LIMITED,2623,2,20,16,26,2027,11017462514.518158,"ANDHERI (E), MUMBAI,MAHARASHTRA ","21-22, KALPATARU SQUARE, KONDIVITALANE, OFF ANDHERI KURLA ROAD,",131.15,73.5
RELIANCE LIFE SCIENCES PRIVATE LIMITED,1608,2,20,63,13,1065,10832862620.71133,"NAVI MUMBAI, MAHARASHTRA ","R-282,TTC AREA OF MIDC, THANE-BELAPUR ROAD, RABALE",80.4,81.2
