drug_substance,country_normalized,transaction_count,supplier_count,size_estimate_inr
RITONAVIR,BELGIUM,96,1,7877687870.77
FLUTICASONE,NETHERLANDS,582,3,7760240340.94
VALACYCLOVIR,UNITED STATES,98,4,3062134640.2799997
SALBUTAMOL,BRAZIL,1239,2,2482044748.7
ATORVASTATIN,JAPAN,216,2,2437857698.94
ESOMEPRAZOLE,BRAZIL,274,3,2311431758.678444
AMOXICILLIN,BRAZIL,320,3,2122635770.24
FLUTICASONE,AUSTRALIA,154,4,2075049677.0
METOPROLOL,BRAZIL,586,2,2061023639.346
TRASTUZUMAB,NETHERLANDS,210,1,2058475024.78
TESTOSTERONE,CANADA,77,1,2002433931.4
MEROPENEM,UNITED STATES,155,4,1978779582.01
CIPROFLOXACIN,RUSSIA,157,4,1798008573.08
AMOXICILLIN,MALTA,808,3,1607082249.4696665
SERTRALINE,BELGIUM,265,3,1585077984.4505866
IBUPROFEN,HUNGARY,173,2,1547614646.27
PIPERACILLIN,UNITED STATES,126,3,1545754182.6
AZILSARTAN,GERMANY,9,1,1542009297.24
DEXLANSOPRAZOLE,UNITED STATES,78,2,1498199281.62
DULOXETINE,CANADA,328,4,1495584159.2431028
TRAMADOL,GERMANY,55,4,1493159308.0
ROSUVASTATIN,AUSTRALIA,216,3,1475601886.2
PANTOPRAZOLE,MALTA,966,2,1448299424.9444335
VALACICLOVIR,AUSTRALIA,154,3,1402068554.79
NAPROXEN,SLOVENIA,191,1,1395846726.53
OLANZAPINE,CHINA,107,1,1350012141.65
TENOFOVIR,BOTSWANA,50,3,1173675323.560894
AMOXICILLIN,SLOVENIA,539,2,1169941201.68
ALENDRONATE,UNITED STATES,399,2,1145509069.1
LEVOTHYROXINE,UNITED STATES,447,4,1089105544.2
CANDESARTAN,UNITED STATES,217,3,1068003023.24
AMLODIPINE,JAPAN,118,2,1046675697.4246044
DOLUTEGRAVIR,ETHIOPIA,84,4,1024541376.05
TIMOLOL,RUSSIA,112,3,999731502.8
