drug_substance,t,transaction_count,total_quantity,p25_unit_price,p50_unit_price,p75_unit_price,destination_count,fob_estimated_pct,months_since_first,avg_deal_size,price_spread,exporter_churn
ABACAVIR,1,40,8560324.0,8.4075,15.0,22.5675,16.0,0.0,0,214008.1,0.9439999999999998,
ABACAVIR,2,53,11757427.0,7.48,9.3,15.88,18.0,0.0,1,221838.24528301886,0.9032258064516129,0.6
ABACAVIR,3,36,33049071.0,3.1775,6.7,33.875,15.0,0.0,2,918029.75,4.581716417910448,0.6
ABACAVIR,4,35,9121212.0,5.975,8.9,21.05,15.0,0.0,3,260606.05714285714,1.6938202247191012,0.6
ABACAVIR,5,44,30035304.0,2.7,6.55,34.2125,29.0,0.0,4,682620.5454545454,4.811068702290076,0.4
ABACAVIR,6,56,44160210.0,4.776045,8.46,34.125,28.0,0.0,5,788575.1785714285,3.469143617021276,0.8
ABACAVIR,7,51,18694845.0,2.65,6.1,10.49,25.0,0.0,6,366565.5882352941,1.2852459016393443,0.8
ABACAVIR,8,58,12271447.0,2.7,6.47,14.71,25.0,0.0,7,211576.6724137931,1.8562596599690884,0.6
ABACAVIR,9,49,32206154.0,2.65,6.75,14.45,27.0,0.0,8,657268.4489795918,1.748148148148148,0.6
ABACAVIR,10,64,47160951.0,3.1999999999999997,9.0,104.7675,20.0,0.0,9,736889.859375,11.285277777777777,0.6
ABACAVIR,11,56,28237575.0,5.75,7.115,12.425,24.0,0.0,10,504242.41071428574,0.938158819395643,0.6
ABACAVIR,12,74,37176918.0,4.002,5.75,9.13,31.0,0.0,11,502390.7837837838,0.8918260869565219,0.4
ABACAVIR,13,54,14719386.0,8.4575,14.870000000000001,16.81,19.0,0.0,12,272581.22222222225,0.5617014122394081,0.6
ABACAVIR,14,29,8135580.0,6.5,8.9,42.53,17.0,0.0,13,280537.2413793103,4.048314606741573,0.6
ABACAVIR,15,40,12888502.0,4.9384999999999994,9.09,94.99,20.0,0.025,14,322212.55,9.906655665566555,0.6
ABACAVIR,16,26,4605477.0,7.57,9.45,31.27,11.0,0.0,15,177133.73076923078,2.507936507936508,0.6
ABACAVIR,17,41,6695569.03,2.75,10.6,53.63,21.0,0.0,16,163306.56170731707,4.800000000000001,0.6
ABACAVIR,18,24,4255696.0,2.6399999999999997,8.375,22.5675,17.0,0.0,17,177320.66666666666,2.3794029850746266,0.6
ABACAVIR,19,47,12503624.0,6.6,7.96,13.899999999999999,26.0,0.0,18,266034.55319148937,0.9170854271356783,0.6
ABACAVIR,20,39,7178682.0,5.5,8.9,14.03,20.0,0.0,19,184068.76923076922,0.9584269662921348,0.6
ABAZOLE,1,2,40000.0,0.29,0.29,0.29,1.0,0.0,0,20000.0,0.0,
ABAZOLE,2,0,0.0,0.29,0.29,0.29,0.0,0.0,1,0.0,0.0,
ABAZOLE,3,2,50000.0,0.29,0.29,0.29,1.0,0.0,2,25000.0,0.0,
ABAZOLE,4,0,0.0,0.29,0.29,0.29,0.0,0.0,3,0.0,0.0,
ABAZOLE,5,0,0.0,0.29,0.29,0.29,0.0,0.0,4,0.0,0.0,
ABAZOLE,6,0,0.0,0.29,0.29,0.29,0.0,0.0,5,0.0,0.0,
ABAZOLE,7,0,0.0,0.29,0.29,0.29,0.0,0.0,6,0.0,0.0,
ABAZOLE,8,2,65000.0,0.29,0.29,0.29,1.0,0.0,7,32500.0,0.0,
ABAZOLE,9,0,0.0,0.29,0.29,0.29,0.0,0.0,8,0.0,0.0,
ABAZOLE,10,0,0.0,0.29,0.29,0.29,0.0,0.0,9,0.0,0.0,
ABAZOLE,11,0,0.0,0.29,0.29,0.29,0.0,0.0,10,0.0,0.0,
ABAZOLE,12,0,0.0,0.29,0.29,0.29,0.0,0.0,11,0.0,0.0,
ABAZOLE,13,1,73474.0,0.34,0.34,0.34,1.0,0.0,12,73474.0,0.0,
ABAZOLE,14,0,0.0,0.34,0.34,0.34,0.0,0.0,13,0.0,0.0,
ABAZOLE,15,0,0.0,0.34,0.34,0.34,0.0,0.0,14,0.0,0.0,
ABAZOLE,16,1,80000.0,0.34,0.34,0.34,1.0,0.0,15,80000.0,0.0,
ABAZOLE,17,4,6926.0,0.27,0.27,0.28750000000000003,2.0,0.0,16,1731.5,0.06481481481481487,0.2
ABAZOLE,18,0,0.0,0.27,0.27,0.28750000000000003,0.0,0.0,17,0.0,0.06481481481481487,
ABAZOLE,19,0,0.0,0.27,0.27,0.28750000000000003,0.0,0.0,18,0.0,0.06481481481481487,
ABAZOLE,20,0,0.0,0.27,0.27,0.28750000000000003,0.0,0.0,19,0.0,0.06481481481481487,
ABCIXIMAB,1,12,665.0,61.0,65.0,71.2375,4.0,0.0,0,55.416666666666664,0.15749999999999995,
ABCIXIMAB,2,9,260.0,57.9,65.0,68.0,2.0,0.0,1,28.88888888888889,0.1553846153846154,0.2
ABCIXIMAB,3,8,144.0,53.925,58.04,65.9875,3.0,0.0,2,18.0,0.20783080634045487,0.2
ABCIXIMAB,4,7,470.0,68.0,86.25,98.625,5.0,0.0,3,67.14285714285714,0.35507246376811596,0.2
ABCIXIMAB,5,10,367.0,58.045,71.59,87.30000000000001,4.0,0.0,4,36.7,0.4086464590026541,0.4
ABCIXIMAB,6,5,160.0,48.96,48.96,51.9,3.0,0.0,5,32.0,0.06004901960784309,0.2
ABCIXIMAB,7,6,180.0,58.635,68.925,77.85,3.0,0.0,6,30.0,0.27878128400435254,0.0
ABCIXIMAB,8,7,316.0,57.0,61.0,75.625,4.0,0.0,7,45.142857142857146,0.305327868852459,0.2
ABCIXIMAB,9,9,255.0,65.0,65.0,80.95,4.0,0.0,8,28.333333333333332,0.24538461538461542,0.2
ABCIXIMAB,10,9,455.0,62.9166,63.33,64.0,3.0,0.0,9,50.55555555555556,0.01710721616927203,0.4
ABCIXIMAB,11,4,300.0,62.94,64.22,71.0375,3.0,0.0,10,75.0,0.12609000311429455,0.4
ABCIXIMAB,12,11,613.0,62.94,62.94,71.92,3.0,0.0,11,55.72727272727273,0.14267556402923426,0.4
ABCIXIMAB,13,8,470.0,58.025,60.0,64.5025,3.0,0.0,12,58.75,0.10795833333333332,0.6
ABCIXIMAB,14,9,367.0,57.5,57.8,57.8,2.0,0.0,13,40.77777777777778,0.005190311418685072,0.4
ABCIXIMAB,15,4,95.0,54.49,66.395,70.5,3.0,0.0,14,23.75,0.24113261540778672,0.2
ABCIXIMAB,16,4,558.0,81.465,87.62,87.6275,3.0,0.0,15,139.5,0.07033211595526129,0.0
ABCIXIMAB,17,8,168.0,62.5,82.975,87.65,5.0,0.0,16,21.0,0.3031033443808377,0.2
ABCIXIMAB,18,5,160.0,57.5,62.5,62.89,3.0,0.0,17,32.0,0.08624000000000001,0.4
ABCIXIMAB,19,5,197.0,57.5,57.5,58.4,1.0,0.0,18,39.4,0.015652173913043455,0.2
ABCIXIMAB,20,5,70.0,56.9,102.76,102.76,3.0,0.0,19,14.0,0.4462826002335539,0.0
ABPRAZOLE,5,2,7800.0,1.35,1.35,1.35,1.0,0.0,0,3900.0,0.0,
ABPRAZOLE,6,0,0.0,1.35,1.35,1.35,0.0,0.0,1,0.0,0.0,
ABPRAZOLE,7,0,0.0,1.35,1.35,1.35,0.0,0.0,2,0.0,0.0,
ABPRAZOLE,8,1,12000.0,1.35,1.35,1.35,1.0,0.0,3,12000.0,0.0,
ABPRAZOLE,9,2,12000.0,1.35,1.35,1.35,1.0,0.0,4,6000.0,0.0,0.2
ABPRAZOLE,10,0,0.0,1.35,1.35,1.35,0.0,0.0,5,0.0,0.0,
ABPRAZOLE,11,6,36000.0,1.35,1.35,1.35,2.0,0.0,6,6000.0,0.0,
ABPRAZOLE,12,3,24000.0,1.35,1.35,1.35,2.0,0.0,7,8000.0,0.0,0.2
ABPRAZOLE,13,0,0.0,1.35,1.35,1.35,0.0,0.0,8,0.0,0.0,
ABPRAZOLE,14,2,24000.0,1.35,1.35,1.35,2.0,0.0,9,12000.0,0.0,
ABPRAZOLE,15,0,0.0,1.35,1.35,1.35,0.0,0.0,10,0.0,0.0,
ABPRAZOLE,16,0,0.0,1.35,1.35,1.35,0.0,0.0,11,0.0,0.0,
ABPRAZOLE,17,0,0.0,1.35,1.35,1.35,0.0,0.0,12,0.0,0.0,
ABPRAZOLE,18,0,0.0,1.35,1.35,1.35,0.0,0.0,13,0.0,0.0,
ABPRAZOLE,19,0,0.0,1.35,1.35,1.35,0.0,0.0,14,0.0,0.0,
ABPRAZOLE,20,0,0.0,1.35,1.35,1.35,0.0,0.0,15,0.0,0.0,
ACALABRUTINIB,5,2,12.0,286.66,286.66,286.66,1.0,0.0,0,6.0,0.0,
ACALABRUTINIB,6,0,0.0,286.66,286.66,286.66,0.0,0.0,1,0.0,0.0,
ACALABRUTINIB,7,0,0.0,286.66,286.66,286.66,0.0,0.0,2,0.0,0.0,
ACALABRUTINIB,8,2,5.0,253.75,317.5,381.25,2.0,0.0,3,2.5,0.4015748031496063,
ACALABRUTINIB,9,7,211.0,157.0,157.0,260.0,3.0,0.0,4,30.142857142857142,0.6560509554140127,0.2
ACALABRUTINIB,10,1,2.0,120.0,120.0,120.0,1.0,0.0,5,2.0,0.0,0.0
ACALABRUTINIB,11,2,14.0,259.0,321.0,383.0,2.0,0.0,6,7.0,0.3862928348909657,0.0
ACALABRUTINIB,12,1,6.0,422.5,422.5,422.5,1.0,0.0,7,6.0,0.0,0.2
ACALABRUTINIB,13,2,18.0,112.5,125.0,137.5,2.0,0.0,8,9.0,0.2,0.0
ACALABRUTINIB,14,7,32.0,200.0,200.0,350.0,2.0,0.0,9,4.571428571428571,0.75,0.2
ACALABRUTINIB,15,2,14.0,243.7825,303.355,362.9275,2.0,0.0,10,7.0,0.39275766016713093,0.0
ACALABRUTINIB,16,0,0.0,243.7825,303.355,362.9275,0.0,0.0,11,0.0,0.39275766016713093,
ACALABRUTINIB,17,4,10.0,178.805,214.89,250.0,1.0,0.0,12,2.5,0.3313090418353576,
ACALABRUTINIB,18,5,51.0,143.75,397.5,397.5,3.0,0.0,13,10.2,0.6383647798742138,0.0
ACALABRUTINIB,19,12,120.0,125.0,135.05,150.0,3.0,0.0,14,10.0,0.18511662347278784,0.0
