region,year,transaction_count,country_count,total_fob_inr
AFRICA,2023,333894,55,266644479681.46106
AFRICA,2024,237983,56,180579492075.28897
ASIA,2023,583547,49,278589206910.53705
ASIA,2024,361147,49,189032367887.86337
EUROPE,2023,272088,42,304707159745.9754
EUROPE,2024,196610,44,210461008277.67276
NORTH AMERICA,2023,196567,33,521056042991.5939
NORTH AMERICA,2024,135828,34,388097351367.3763
OCEANIA,2023,42770,13,42842581931.865204
OCEANIA,2024,26854,14,27160088416.114082
OTHER,2023,1142,13,71839987.60455064
OTHER,2024,686,1,20813408.23
SOUTH AMERICA,2023,48300,12,83774615123.9227
SOUTH AMERICA,2024,38112,12,55789309808.856674
