drug_substance,t,forecast_month,last_actual_transaction_count_t8,naive_forecast,model_a_ar1_forecast,model_a_ar2_forecast,model_b_forecast,model_c_ppml_forecast,model_d_gmm_forecast
PARACETAMOL,21,2024-09,1600,1600,1553.4,1557.7,1567.5,1561.4,1551.7
SILDENAFIL,21,2024-09,1309,1309,1320.3,1342.1,1360.4,1326.6,1321.9
AMOXICILLIN,21,2024-09,966,966,986.0,990.5,992.7,987.7,987.5
TADALAFIL,21,2024-09,930,930,975.5,983.0,976.7,976.9,978.6
METFORMIN,21,2024-09,846,846,917.7,916.5,916.7,916.5,921.8
DICLOFENAC,21,2024-09,854,854,917.2,917.5,921.7,916.9,920.5
IBUPROFEN,21,2024-09,710,710,714.9,719.0,717.8,716.6,715.2
KAMAGRA,21,2024-09,750,750,708.5,716.4,729.9,714.6,707.1
AZITHROMYCIN,21,2024-09,588,588,658.9,653.3,646.2,657.8,663.2
VIDALISTA,21,2024-09,610,610,641.7,642.0,637.5,646.4,644.6
CENFORCE,21,2024-09,568,568,607.0,603.9,598.7,614.5,610.2
ATORVASTATIN,21,2024-09,550,550,600.1,597.7,594.6,606.3,602.5
AMLODIPINE,21,2024-09,523,523,597.3,598.6,592.2,596.4,601.5
OMEPRAZOLE,21,2024-09,626,626,591.2,594.5,595.7,597.6,589.5
CIPROFLOXACIN,21,2024-09,524,524,539.6,542.8,539.8,541.5,540.5
PREGABALIN,21,2024-09,472,472,515.8,515.4,513.2,519.2,518.3
METRONIDAZOLE,21,2024-09,528,528,495.4,495.4,492.6,499.2,493.9
ROSUVASTATIN,21,2024-09,473,473,467.1,470.9,469.9,470.2,466.8
AMOXYCILLIN,21,2024-09,378,378,461.7,456.6,449.3,460.2,466.8
SALBUTAMOL,21,2024-09,462,462,458.6,460.6,459.4,463.4,458.7
FLUTICASONE,21,2024-09,470,470,444.2,446.4,447.9,447.7,442.9
PANTOPRAZOLE,21,2024-09,431,431,416.8,416.1,415.9,420.2,416.1
CEFTRIAXONE,21,2024-09,396,396,407.5,408.0,405.8,409.4,408.1
GABAPENTIN,21,2024-09,365,365,395.8,393.4,391.7,397.1,397.7
TELMISARTAN,21,2024-09,388,388,387.7,386.9,386.1,390.3,387.9
LOSARTAN,21,2024-09,357,357,380.7,383.0,382.8,382.3,381.9
TESTOSTERONE,21,2024-09,420,420,372.6,376.4,379.2,378.5,370.2
METOPROLOL,21,2024-09,420,420,365.8,367.5,368.5,370.1,363.2
CLOTRIMAZOLE,21,2024-09,334,334,351.3,350.9,351.1,352.7,352.3
LEVETIRACETAM,21,2024-09,452,452,349.4,347.7,352.5,356.7,344.7
ESOMEPRAZOLE,21,2024-09,340,340,337.5,338.5,341.0,339.8,337.4
CEFIXIME,21,2024-09,356,356,331.2,333.9,335.7,335.2,330.0
VARDENAFIL,21,2024-09,398,398,328.9,332.6,341.1,335.9,326.0
FLUCONAZOLE,21,2024-09,289,289,321.0,322.6,319.4,320.9,322.9
BUDESONIDE,21,2024-09,302,302,303.3,300.5,300.0,304.9,303.6
ONDANSETRON,21,2024-09,367,367,289.9,285.6,289.0,297.5,286.3
CLINDAMYCIN,21,2024-09,271,271,286.1,287.9,282.0,286.3,287.0
PREDNISOLONE,21,2024-09,302,302,285.2,285.6,285.2,287.8,284.6
QUETIAPINE,21,2024-09,298,298,264.9,265.2,267.7,268.5,263.2
DEXAMETHASONE,21,2024-09,284,284,258.6,258.2,258.8,261.3,257.2
ALBENDAZOLE,21,2024-09,251,251,251.8,251.1,251.5,253.4,251.9
LEVOFLOXACIN,21,2024-09,270,270,244.4,247.2,246.2,247.7,243.2
MONTELUKAST,21,2024-09,223,223,243.4,244.5,246.6,243.4,244.6
BETAMETHASONE,21,2024-09,206,206,230.9,231.8,232.6,232.1,232.3
HYDROCORTISONE,21,2024-09,260,260,221.0,222.7,224.4,224.9,219.1
VALSARTAN,21,2024-09,275,275,215.7,220.8,221.3,222.1,212.9
TIMOLOL,21,2024-09,230,230,212.5,213.4,215.3,214.9,211.7
CLOPIDOGREL,21,2024-09,182,182,204.5,203.2,204.0,205.0,205.7
CETIRIZINE,21,2024-09,261,261,203.3,203.7,207.2,207.8,200.8
DAPAGLIFLOZIN,21,2024-09,223,223,201.0,207.5,208.8,206.2,199.7
OLANZAPINE,21,2024-09,213,213,195.1,194.6,195.5,198.5,194.2
DOXYCYCLINE,21,2024-09,228,228,193.9,197.3,199.2,197.2,192.4
TENOFOVIR,21,2024-09,200,200,193.8,195.7,197.1,195.5,193.5
CYPROHEPTADINE,21,2024-09,188,188,191.7,194.1,194.9,192.7,191.8
LIDOCAINE,21,2024-09,160,160,187.0,186.7,185.4,187.9,188.4
VENLAFAXINE,21,2024-09,155,155,186.4,185.0,184.7,186.6,188.2
NEBIVOLOL,21,2024-09,171,171,183.5,180.2,178.1,185.4,184.2
RAMIPRIL,21,2024-09,200,200,182.1,180.2,181.1,184.9,181.0
MOMETASONE,21,2024-09,135,135,180.0,178.1,174.4,180.4,182.7
ESCITALOPRAM,21,2024-09,200,200,175.8,178.0,180.4,178.6,174.8
SERTRALINE,21,2024-09,184,184,174.2,172.9,173.5,177.6,173.7
DULOXETINE,21,2024-09,196,196,169.2,169.1,171.0,173.9,167.7
ACICLOVIR,21,2024-09,156,156,168.4,167.9,167.4,168.6,169.0
FUROSEMIDE,21,2024-09,151,151,165.6,166.6,167.2,168.0,166.4
TADARISE,21,2024-09,217,217,165.5,165.8,168.2,170.4,163.5
FORMOTEROL,21,2024-09,185,185,164.9,163.8,164.7,167.9,163.9
PROGESTERONE,21,2024-09,153,153,164.7,164.3,164.4,165.1,165.3
HEPARIN,21,2024-09,167,167,164.0,168.1,170.1,167.9,164.0
SITAGLIPTIN,21,2024-09,202,202,162.0,163.1,166.5,165.4,160.1
ACECLOFENAC,21,2024-09,174,174,160.8,160.5,160.9,163.1,160.2
FEXOFENADINE,21,2024-09,157,157,157.1,158.1,158.7,160.4,156.9
KETOCONAZOLE,21,2024-09,168,168,154.6,159.7,161.4,158.0,153.6
RISPERIDONE,21,2024-09,160,160,152.9,152.9,155.0,154.9,152.4
BISOPROLOL,21,2024-09,171,171,152.5,156.6,157.3,155.4,151.6
SUHAGRA,21,2024-09,126,126,152.0,148.2,145.6,154.5,153.7
ESTRADIOL,21,2024-09,129,129,151.4,150.3,148.4,151.3,152.7
MENTHOL,21,2024-09,145,145,150.8,150.0,148.8,153.1,151.2
ERYTHROMYCIN,21,2024-09,152,152,150.6,151.7,149.6,151.5,150.7
OLMESARTAN,21,2024-09,141,141,149.7,150.5,150.5,150.2,150.3
TRIAMCINOLONE,21,2024-09,156,156,148.5,148.0,149.0,150.8,148.0
OFLOXACIN,21,2024-09,171,171,147.7,148.7,149.0,150.0,146.6
AMPICILLIN,21,2024-09,167,167,143.1,144.5,145.7,145.6,142.0
TRAMADOL,21,2024-09,199,199,142.2,145.1,148.7,147.6,139.7
EMPAGLIFLOZIN,21,2024-09,157,157,138.1,143.2,141.7,143.9,137.0
MEROPENEM,21,2024-09,142,142,135.9,133.4,131.7,137.6,135.7
ARIPIPRAZOLE,21,2024-09,98,98,134.3,133.0,130.7,134.6,136.5
PROPRANOLOL,21,2024-09,127,127,133.8,132.2,133.0,136.1,134.4
ACETAMINOPHEN,21,2024-09,143,143,133.5,134.7,136.5,135.1,133.1
FILDENA,21,2024-09,146,146,132.4,132.7,133.7,134.7,132.0
RABEPRAZOLE,21,2024-09,136,136,132.1,132.1,132.0,133.8,131.8
VANCOMYCIN,21,2024-09,160,160,123.6,124.8,125.7,127.0,121.9
AVANAFIL,21,2024-09,105,105,123.5,123.9,122.9,125.0,124.6
NAPROXEN,21,2024-09,197,197,123.2,125.0,128.1,129.7,120.3
SIMVASTATIN,21,2024-09,111,111,121.7,118.9,117.1,124.0,122.4
GLIMEPIRIDE,21,2024-09,117,117,121.4,121.4,120.5,123.2,121.6
MICONAZOLE,21,2024-09,121,121,121.0,123.0,123.3,123.2,121.0
ATENOLOL,21,2024-09,96,96,120.2,119.6,118.3,120.0,121.7
DAPOXETINE,21,2024-09,143,143,119.4,123.1,125.6,121.9,118.4
CLARITHROMYCIN,21,2024-09,119,119,119.1,119.5,118.6,120.7,119.2
LIGNOCAINE,21,2024-09,152,152,119.0,122.7,123.9,123.8,117.3
ENALAPRIL,21,2024-09,134,134,113.2,113.1,114.8,116.5,112.2
MEBENDAZOLE,21,2024-09,144,144,110.9,113.2,115.1,114.3,109.4
CARBAMAZEPINE,21,2024-09,129,129,109.8,111.6,114.3,111.9,108.9
ITRACONAZOLE,21,2024-09,84,84,109.6,110.7,109.1,109.3,111.1
ASPIRIN,21,2024-09,132,132,108.0,109.2,110.1,111.3,106.8
DONEPEZIL,21,2024-09,109,109,107.4,107.8,108.3,109.6,107.4
NIFEDIPINE,21,2024-09,101,101,106.9,108.2,109.2,108.1,107.3
ASHWAGANDHA,21,2024-09,111,111,105.6,104.1,104.1,107.6,105.3
DOLUTEGRAVIR,21,2024-09,229,229,105.3,111.2,115.2,119.4,101.0
DOMPERIDONE,21,2024-09,82,82,104.4,105.0,104.8,104.4,105.7
TRENBOLONE,21,2024-09,136,136,104.3,106.4,108.1,109.3,102.8
MOXIFLOXACIN,21,2024-09,132,132,102.7,104.3,105.8,106.3,101.4
TOBRAMYCIN,21,2024-09,85,85,102.3,102.6,102.9,102.1,103.3
LANSOPRAZOLE,21,2024-09,101,101,101.0,101.2,100.5,101.8,101.0
BECLOMETHASONE,21,2024-09,94,94,98.9,97.9,97.7,99.4,99.2
MALEGRA,21,2024-09,124,124,98.0,99.3,101.2,100.5,97.0
IRBESARTAN,21,2024-09,76,76,95.2,94.3,92.0,97.4,96.4
MIRTAZAPINE,21,2024-09,106,106,94.9,95.5,97.5,99.8,94.3
LORATADINE,21,2024-09,178,178,93.9,95.5,97.9,99.7,90.9
TETRACYCLINE,21,2024-09,102,102,93.7,94.8,94.1,94.9,93.2
FAMOTIDINE,21,2024-09,102,102,92.4,93.8,95.8,94.6,92.0
METHYLPREDNISOLONE,21,2024-09,99,99,91.1,92.7,95.4,92.5,90.7
NEOMYCIN,21,2024-09,105,105,89.5,92.6,94.9,92.1,88.7
CANDESARTAN,21,2024-09,96,96,88.9,88.9,89.0,91.1,88.6
VALPROATE,21,2024-09,87,87,86.0,87.9,88.5,87.5,85.9
TRIMOXAZOLE,21,2024-09,99,99,84.9,85.3,86.1,86.4,84.2
INSULIN,21,2024-09,85,85,82.8,84.2,85.3,84.3,82.7
PHENYTOIN,21,2024-09,76,76,82.5,81.3,82.5,83.0,82.8
PIPERACILLIN,21,2024-09,83,83,82.2,82.9,82.5,83.7,82.0
ACIVIR,21,2024-09,59,59,81.8,79.8,78.5,82.8,83.3
NYSTATIN,21,2024-09,118,118,81.6,80.4,81.2,85.0,80.1
LISINOPRIL,21,2024-09,70,70,81.1,80.2,78.6,82.8,81.8
RANITIDINE,21,2024-09,79,79,80.6,80.1,79.1,81.7,80.7
PENICILLIN,21,2024-09,64,64,79.0,79.2,77.0,79.2,79.9
NANDROLONE,21,2024-09,92,92,78.3,78.9,79.8,80.9,77.7
TRASTUZUMAB,21,2024-09,79,79,77.3,79.0,76.6,81.1,77.1
BUPIVACAINE,21,2024-09,81,81,75.8,76.3,77.0,77.8,75.5
ENOXAPARIN,21,2024-09,81,81,73.8,73.7,73.7,75.3,73.4
FLUOCINOLONE,21,2024-09,64,64,73.1,72.1,71.2,73.6,73.6
BETADINE,21,2024-09,71,71,70.3,70.2,70.1,72.1,70.3
ACYCLOVIR,21,2024-09,79,79,68.0,68.1,68.5,69.9,67.5
DESLORATADINE,21,2024-09,74,74,67.1,68.5,68.9,68.6,66.8
DEXLANSOPRAZOLE,21,2024-09,62,62,65.9,65.9,67.3,66.9,66.1
