drug_substance,country_normalized,t,forecast_month,last_actual_transaction_count_t8,n_active_months,naive_forecast,model_a_ar1_forecast,model_b_forecast,model_c_ppml_forecast,model_d_gmm_forecast,low_confidence,fallback_reason
ABACAVIR,ALBANIA,21,2024-09,0,2,0.0,0.0,0.0,0.1,0.0,False,model_b_missing_covariate_history
ABACAVIR,ALGERIA,21,2024-09,2,8,2.0,0.5,0.5,1.0,0.6,False,model_b_missing_covariate_history
ABACAVIR,ANGOLA,21,2024-09,0,3,0.0,0.2,0.2,0.3,0.2,False,model_b_missing_covariate_history
ABACAVIR,ARGENTINA,21,2024-09,0,2,0.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
ABACAVIR,ARMENIA,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,AUSTRALIA,21,2024-09,0,2,0.0,0.4,0.4,0.4,0.4,False,model_b_missing_covariate_history
ABACAVIR,AUSTRIA,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,AZERBAIJAN,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,BANGLADESH,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,BELARUS,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,BELGIUM,21,2024-09,2,13,2.0,0.7,1.2,1.0,0.7,False,
ABACAVIR,BENIN,21,2024-09,0,3,0.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
ABACAVIR,BERMUDA,21,2024-09,0,2,0.0,0.0,0.0,0.1,0.0,False,model_b_missing_covariate_history
ABACAVIR,BHUTAN,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,BOLIVIA,21,2024-09,0,2,0.0,0.4,0.4,0.4,0.4,False,model_b_missing_covariate_history
ABACAVIR,BOTSWANA,21,2024-09,0,11,0.0,0.5,0.5,0.7,0.5,False,model_b_missing_covariate_history
ABACAVIR,BURKINA FASO,21,2024-09,0,4,0.0,0.2,0.2,0.3,0.2,False,model_b_missing_covariate_history
ABACAVIR,BURUNDI,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,CAMBODIA,21,2024-09,0,2,0.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
ABACAVIR,CAMEROON,21,2024-09,0,3,0.0,0.1,0.1,0.2,0.1,False,model_b_missing_covariate_history
ABACAVIR,CANADA,21,2024-09,0,8,0.0,0.4,0.4,0.6,0.4,False,model_b_missing_covariate_history
ABACAVIR,CENTRAL AFRICAN REPUBLIC,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,CHAD,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,CHILE,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,COLOMBIA,21,2024-09,0,7,0.0,0.4,0.4,0.6,0.4,False,model_b_missing_covariate_history
ABACAVIR,CONGO,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,CZECH REPUBLIC,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,DENMARK,21,2024-09,1,7,1.0,0.3,0.3,0.5,0.3,False,model_b_missing_covariate_history
ABACAVIR,DJIBOUTI,21,2024-09,0,2,0.0,0.0,0.0,0.1,0.0,False,model_b_missing_covariate_history
ABACAVIR,DOMINICAN REPUBLIC,21,2024-09,1,3,1.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
ABACAVIR,DR CONGO,21,2024-09,0,2,0.0,0.1,0.1,0.3,0.1,False,model_b_missing_covariate_history
ABACAVIR,ECUADOR,21,2024-09,1,3,1.0,0.2,0.2,0.2,0.2,False,model_b_missing_covariate_history
ABACAVIR,EGYPT,21,2024-09,2,1,2.0,2.0,2.0,2.0,2.0,True,single_month_no_lag
ABACAVIR,ERITREA,21,2024-09,1,3,1.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
ABACAVIR,ETHIOPIA,21,2024-09,0,4,0.0,0.4,0.4,0.8,0.4,False,model_b_missing_covariate_history
ABACAVIR,FIJI,21,2024-09,1,3,1.0,0.1,0.1,0.2,0.1,False,model_b_missing_covariate_history
ABACAVIR,FRANCE,21,2024-09,0,10,0.0,0.6,0.6,0.9,0.6,False,model_b_missing_covariate_history
ABACAVIR,GABON,21,2024-09,0,2,0.0,0.1,0.1,0.2,0.1,False,model_b_missing_covariate_history
ABACAVIR,GAMBIA,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,GEORGIA,21,2024-09,0,3,0.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
ABACAVIR,GERMANY,21,2024-09,0,5,0.0,0.4,0.4,0.8,0.4,False,model_b_missing_covariate_history
ABACAVIR,GHANA,21,2024-09,0,3,0.0,0.2,0.2,0.3,0.2,False,model_b_missing_covariate_history
ABACAVIR,GUATEMALA,21,2024-09,0,2,0.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
ABACAVIR,GUINEA,21,2024-09,0,6,0.0,0.4,0.4,0.5,0.4,False,model_b_missing_covariate_history
ABACAVIR,HAITI,21,2024-09,0,4,0.0,0.1,0.1,0.2,0.1,False,model_b_missing_covariate_history
ABACAVIR,HONDURAS,21,2024-09,0,2,0.0,0.0,0.0,0.1,0.0,False,model_b_missing_covariate_history
ABACAVIR,INDONESIA,21,2024-09,0,2,0.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
ABACAVIR,IRAN,21,2024-09,0,2,0.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
ABACAVIR,IVORY COAST,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,JAPAN,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,KAZAKHSTAN,21,2024-09,0,6,0.0,0.6,0.6,0.7,0.6,False,model_b_missing_covariate_history
ABACAVIR,KENYA,21,2024-09,1,10,1.0,0.9,0.9,1.8,0.9,False,model_b_missing_covariate_history
ABACAVIR,KYRGYZSTAN,21,2024-09,0,2,0.0,0.0,0.0,0.1,0.0,False,model_b_missing_covariate_history
ABACAVIR,LAOS,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,LEBANON,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,LESOTHO,21,2024-09,0,5,0.0,0.3,0.3,0.4,0.3,False,model_b_missing_covariate_history
ABACAVIR,LIBERIA,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,LIBYA,21,2024-09,0,2,0.0,0.1,0.1,0.2,0.1,False,model_b_missing_covariate_history
ABACAVIR,MADAGASCAR,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,MALAYSIA,21,2024-09,0,4,0.0,0.1,0.1,0.2,0.1,False,model_b_missing_covariate_history
ABACAVIR,MALDIVES,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,MALTA,21,2024-09,8,7,8.0,0.8,0.0,2.2,0.8,False,
ABACAVIR,MAURITANIA,21,2024-09,0,1,0.0,0.0,0.0,0.0,0.0,True,model_b_missing_covariate_history
ABACAVIR,MAURITIUS,21,2024-09,0,2,0.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
ABACAVIR,MEXICO,21,2024-09,0,2,0.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
ABACAVIR,MOLDOVA,21,2024-09,0,3,0.0,0.1,0.1,0.1,0.1,False,model_b_missing_covariate_history
