metric,AR(1),AR(2),Model B,Model C (PPML),Model D (AB-GMM),note,Model F (GMM+XGB residual),Model G (GMM+XGB+LGBM ensemble),Model H (Fourier-seasonal GMM),Model I (SARIMA)
estimator,FE-OLS on log1p,FE-OLS on log1p,FE-OLS on log1p,FE-Poisson (PPML) on counts,AB difference GMM on log1p,C models counts directly (no log1p/expm1 round trip); D is FE-OLS's Nickell bias corrected by instruments | Model F/G: not applicable (tree ensembles have no coefficients/instruments),,,,
phi1 (coefficient),0.0222375007763985,0.02434446087076387,0.06765508216089344,0.06822029617650183,-0.025667422930629655,C's coef is a Poisson elasticity under a log link -- NOT comparable in level to the OLS phi1. D is the bias-corrected phi1 | Model F/G: not applicable (tree ensembles have no coefficients/instruments),,,-0.025639904078401703,
phi1 p-value,0.16745986831495085,0.13181978895653956,0.00701251762800692,0.003441433179188757,0.36181592034885024,"A/B/C significant; D INSIGNIFICANT -- once bias is removed, persistence is statistically indistinguishable from zero | Model F/G: not applicable (tree ensembles have no coefficients/instruments)",,,0.3621905664064866,
phi2 (coefficient),,0.021927387379925528,0.05624726707272619,,,"not in AR(1), C or D | Model F/G: not applicable (tree ensembles have no coefficients/instruments)",,,,
phi2 p-value,,0.11834876335766276,0.016802100573850343,,,significant in-sample but doesn't help out-of-sample | Model F/G: not applicable (tree ensembles have no coefficients/instruments),,,,
entities used (training),633.0,628.0,599.0,626,625,B drops most: needs y_t-2 AND all covariates non-null | Model F/G: not applicable (tree ensembles have no coefficients/instruments),,,,
implied Nickell bias vs D,0.04790492370702816,0.05001188380139353,0.0933225050915231,,0.0,how far each FE-OLS phi1 sits below the instrumented estimate; negative = biased downward | Model F/G: not applicable (tree ensembles have no coefficients/instruments),,,,
first-stage F (excluded instruments),,,,,1508.6283394031934,GMM only; <10 = weak instruments. Model B's GMM could not compute this | Model F/G: not applicable (tree ensembles have no coefficients/instruments),,,,
Hansen J p-value,,,,,0.17559640022082335,GMM only; >0.05 = instruments not rejected. Model B's was nan (exactly identified) | Model F/G: not applicable (tree ensembles have no coefficients/instruments),,,,
obs per entity (GMM sample),,,,,12.9472,"Model B's failed GMM had exactly 1.00, which killed every diagnostic | Model F/G: not applicable (tree ensembles have no coefficients/instruments)",,,,
R-squared (in-sample),0.0004897571594998373,0.0010805249970375908,0.006719389557428679,0.003553770165780956,0.02476382374521513,NOT COMPARABLE ACROSS COLUMNS: A/B/AR(2) = within-R2 on log1p levels; C = deviance pseudo-R2 on counts vs an FE-only null; D = IV R2 on the DIFFERENCED equation. Different dependent variables | Model F/G: not applicable (tree ensembles have no coefficients/instruments),,,,
adjusted R-squared (in-sample),-0.07053516243165836,-0.07099109117374258,-0.09628010508622298,0.003441910463284903,0.02464327539215516,same non-comparability. Negative for A/AR(2)/B because several hundred substance fixed effects are fitted on ~2400 rows -- the FE cost exceeds what the lag explains | Model F/G: not applicable (tree ensembles have no coefficients/instruments),,,,
"out-of-sample R2, t=20, count scale",0.9859564834213824,0.9862633242544553,0.9870404710434085,0.9865151950289499,0.9853109516252437,"THE COMPARABLE ONE: same rows, same target, same scale, 1 - SSE/SST. Use this to rank, not the in-sample R2 above. But do NOT read 0.98 as '98% accurate' -- SST is dominated by BETWEEN-substance variance (sizes run 0 to 1663), so almost all of it is the substance effect alpha_d capturing that PARACETAMOL is large and a niche API is small. Naive persistence scores similarly high. MASE stays the primary metric because it divides that level information out",0.9855845172709156,0.984376699036106,,
"validation MASE, t=19, train-subs",0.856243014279429,0.8506756375822121,0.8532711816818781,0.8431233450972997,0.866661123411329,lower = better,0.871799386044812,0.8543057885951544,,
"validation MASE, t=19, holdout-subs",0.8471098436965431,0.8356632223478447,0.8195680456133623,0.8140016507203203,0.8582625568545565,lower = better,0.8436346118369332,0.9481952730457194,,
