drug_substance,t,forecast_month,last_actual_transaction_count_t8,model_f_gmm_xgb_forecast,model_g_ensemble_forecast
PARACETAMOL,21,2024-09,1600,1552.4,1387.9
SILDENAFIL,21,2024-09,1309,1312.3,1132.4
AMOXICILLIN,21,2024-09,966,986.6,977.3
TADALAFIL,21,2024-09,930,973.1,973.5
DICLOFENAC,21,2024-09,854,938.9,914.8
METFORMIN,21,2024-09,846,931.0,839.0
KAMAGRA,21,2024-09,750,687.5,740.6
IBUPROFEN,21,2024-09,710,717.6,718.4
VIDALISTA,21,2024-09,610,708.6,658.6
OMEPRAZOLE,21,2024-09,626,590.8,655.5
AZITHROMYCIN,21,2024-09,588,662.8,612.8
ATORVASTATIN,21,2024-09,550,599.9,584.3
AMLODIPINE,21,2024-09,523,609.6,579.6
CENFORCE,21,2024-09,568,622.1,541.2
CIPROFLOXACIN,21,2024-09,524,541.7,528.7
METRONIDAZOLE,21,2024-09,528,491.5,512.7
PREGABALIN,21,2024-09,472,520.4,492.0
SALBUTAMOL,21,2024-09,462,461.6,461.4
ROSUVASTATIN,21,2024-09,473,470.2,428.8
AMOXYCILLIN,21,2024-09,378,469.1,423.3
FLUTICASONE,21,2024-09,470,437.2,421.5
PANTOPRAZOLE,21,2024-09,431,415.7,404.1
CEFTRIAXONE,21,2024-09,396,409.7,403.9
TELMISARTAN,21,2024-09,388,391.2,387.6
LOSARTAN,21,2024-09,357,380.3,379.0
TESTOSTERONE,21,2024-09,420,376.5,376.5
LEVETIRACETAM,21,2024-09,452,350.9,374.1
GABAPENTIN,21,2024-09,365,379.2,370.9
METOPROLOL,21,2024-09,420,365.1,370.2
VARDENAFIL,21,2024-09,398,313.3,369.9
CLOTRIMAZOLE,21,2024-09,334,354.1,351.7
CEFIXIME,21,2024-09,356,334.0,344.3
ESOMEPRAZOLE,21,2024-09,340,337.6,336.0
ONDANSETRON,21,2024-09,367,293.6,334.2
PREDNISOLONE,21,2024-09,302,287.6,319.9
FLUCONAZOLE,21,2024-09,289,325.7,313.2
BUDESONIDE,21,2024-09,302,304.2,294.3
QUETIAPINE,21,2024-09,298,265.7,284.8
CLINDAMYCIN,21,2024-09,271,284.5,278.1
DEXAMETHASONE,21,2024-09,284,255.8,271.1
HYDROCORTISONE,21,2024-09,260,219.7,260.4
ALBENDAZOLE,21,2024-09,251,253.4,248.9
LEVOFLOXACIN,21,2024-09,270,241.9,247.6
BETAMETHASONE,21,2024-09,206,236.1,244.2
MONTELUKAST,21,2024-09,223,243.8,239.4
CETIRIZINE,21,2024-09,261,206.7,232.8
VALSARTAN,21,2024-09,275,212.1,229.3
DAPAGLIFLOZIN,21,2024-09,223,204.1,213.6
TIMOLOL,21,2024-09,230,211.0,212.9
DOXYCYCLINE,21,2024-09,228,191.8,207.3
OLANZAPINE,21,2024-09,213,193.9,206.7
TENOFOVIR,21,2024-09,200,192.0,203.9
CLOPIDOGREL,21,2024-09,182,206.0,202.5
ESCITALOPRAM,21,2024-09,200,174.8,197.7
TADARISE,21,2024-09,217,180.9,191.1
VENLAFAXINE,21,2024-09,155,189.4,187.9
RAMIPRIL,21,2024-09,200,182.6,187.2
CYPROHEPTADINE,21,2024-09,188,192.9,186.1
SITAGLIPTIN,21,2024-09,202,160.4,182.3
DULOXETINE,21,2024-09,196,169.6,181.9
FUROSEMIDE,21,2024-09,151,165.9,175.7
LIDOCAINE,21,2024-09,160,196.9,173.7
ACICLOVIR,21,2024-09,156,168.9,173.5
HEPARIN,21,2024-09,167,165.4,172.3
FORMOTEROL,21,2024-09,185,162.1,171.6
KETOCONAZOLE,21,2024-09,168,154.4,171.0
TRAMADOL,21,2024-09,199,143.0,168.2
NEBIVOLOL,21,2024-09,171,186.2,167.5
SERTRALINE,21,2024-09,184,173.5,165.9
ACECLOFENAC,21,2024-09,174,161.9,165.2
RISPERIDONE,21,2024-09,160,153.0,164.3
BISOPROLOL,21,2024-09,171,149.8,163.2
ERYTHROMYCIN,21,2024-09,152,151.1,159.1
OFLOXACIN,21,2024-09,171,148.1,158.6
PROGESTERONE,21,2024-09,153,166.2,157.1
NAPROXEN,21,2024-09,197,121.4,154.1
MOMETASONE,21,2024-09,135,184.5,150.8
AMPICILLIN,21,2024-09,167,142.2,150.1
OLMESARTAN,21,2024-09,141,151.5,149.8
FEXOFENADINE,21,2024-09,157,156.8,149.1
MENTHOL,21,2024-09,145,155.6,148.1
TRIAMCINOLONE,21,2024-09,156,148.7,147.1
EMPAGLIFLOZIN,21,2024-09,157,138.9,144.0
DOLUTEGRAVIR,21,2024-09,229,131.9,140.3
ESTRADIOL,21,2024-09,129,145.7,140.0
LIGNOCAINE,21,2024-09,152,117.5,139.8
ACETAMINOPHEN,21,2024-09,143,133.3,138.6
MEROPENEM,21,2024-09,142,133.7,136.9
FILDENA,21,2024-09,146,128.8,136.0
RABEPRAZOLE,21,2024-09,136,132.1,134.5
MEBENDAZOLE,21,2024-09,144,109.8,133.7
DAPOXETINE,21,2024-09,143,114.8,132.4
VANCOMYCIN,21,2024-09,160,123.1,131.0
MICONAZOLE,21,2024-09,121,119.6,130.0
PROPRANOLOL,21,2024-09,127,134.2,129.2
SUHAGRA,21,2024-09,126,151.3,128.4
ENALAPRIL,21,2024-09,134,112.1,128.1
CARBAMAZEPINE,21,2024-09,129,110.8,126.9
ASPIRIN,21,2024-09,132,106.3,123.0
AVANAFIL,21,2024-09,105,129.8,120.6
GLIMEPIRIDE,21,2024-09,117,121.8,119.5
MOXIFLOXACIN,21,2024-09,132,101.5,119.4
DONEPEZIL,21,2024-09,109,107.5,118.2
