drug_substance,country_normalized,t,forecast_month,last_actual_transaction_count_t8,n_active_months,naive_forecast,model_f_gmm_xgb_forecast,model_g_ensemble_forecast,low_confidence,fallback_reason
ABACAVIR,ALBANIA,21,2024-09,0,2,0.0,0.1,0.1,False,
ABACAVIR,ALGERIA,21,2024-09,2,8,2.0,0.5,1.0,False,
ABACAVIR,ANGOLA,21,2024-09,0,3,0.0,0.2,0.2,False,
ABACAVIR,ARGENTINA,21,2024-09,0,2,0.0,0.1,0.1,False,
ABACAVIR,ARMENIA,21,2024-09,0,1,0.0,0.0,0.1,True,
ABACAVIR,AUSTRALIA,21,2024-09,0,2,0.0,0.4,0.3,False,
ABACAVIR,AUSTRIA,21,2024-09,0,1,0.0,0.0,0.1,True,
ABACAVIR,AZERBAIJAN,21,2024-09,0,1,0.0,0.0,0.1,True,
ABACAVIR,BANGLADESH,21,2024-09,0,1,0.0,0.0,0.1,True,
ABACAVIR,BELARUS,21,2024-09,0,1,0.0,0.0,0.1,True,
ABACAVIR,BELGIUM,21,2024-09,2,13,2.0,0.7,1.1,False,
ABACAVIR,BENIN,21,2024-09,0,3,0.0,0.1,0.1,False,
ABACAVIR,BERMUDA,21,2024-09,0,2,0.0,0.1,0.1,False,
ABACAVIR,BHUTAN,21,2024-09,0,1,0.0,0.0,0.1,True,
ABACAVIR,BOLIVIA,21,2024-09,0,2,0.0,0.4,0.3,False,
ABACAVIR,BOTSWANA,21,2024-09,0,11,0.0,0.6,0.3,False,
ABACAVIR,BURKINA FASO,21,2024-09,0,4,0.0,0.2,0.2,False,
ABACAVIR,BURUNDI,21,2024-09,0,1,0.0,0.0,0.2,True,
ABACAVIR,CAMBODIA,21,2024-09,0,2,0.0,0.1,0.1,False,
ABACAVIR,CAMEROON,21,2024-09,0,3,0.0,0.1,0.1,False,
ABACAVIR,CANADA,21,2024-09,0,8,0.0,0.4,0.3,False,
ABACAVIR,CENTRAL AFRICAN REPUBLIC,21,2024-09,0,1,0.0,0.0,0.1,True,
ABACAVIR,CHAD,21,2024-09,0,1,0.0,0.0,0.2,True,
ABACAVIR,CHILE,21,2024-09,0,1,0.0,0.0,0.1,True,
ABACAVIR,COLOMBIA,21,2024-09,0,7,0.0,0.4,0.3,False,
ABACAVIR,CONGO,21,2024-09,0,1,0.0,0.0,0.1,True,
ABACAVIR,CZECH REPUBLIC,21,2024-09,0,1,0.0,0.0,0.2,True,
ABACAVIR,DENMARK,21,2024-09,1,7,1.0,0.3,0.5,False,
ABACAVIR,DJIBOUTI,21,2024-09,0,2,0.0,0.1,0.1,False,
ABACAVIR,DOMINICAN REPUBLIC,21,2024-09,1,3,1.0,0.1,0.3,False,
ABACAVIR,DR CONGO,21,2024-09,0,2,0.0,0.1,0.2,False,
ABACAVIR,ECUADOR,21,2024-09,1,3,1.0,0.2,0.4,False,
ABACAVIR,EGYPT,21,2024-09,2,1,2.0,2.0,2.0,True,single_month_no_lag
ABACAVIR,ERITREA,21,2024-09,1,3,1.0,0.1,0.3,False,
ABACAVIR,ETHIOPIA,21,2024-09,0,4,0.0,0.4,0.2,False,
ABACAVIR,FIJI,21,2024-09,1,3,1.0,0.1,0.4,False,
ABACAVIR,FRANCE,21,2024-09,0,10,0.0,0.6,0.4,False,
ABACAVIR,GABON,21,2024-09,0,2,0.0,0.1,0.5,False,
ABACAVIR,GAMBIA,21,2024-09,0,1,0.0,0.0,0.1,True,
ABACAVIR,GEORGIA,21,2024-09,0,3,0.0,0.1,0.1,False,
ABACAVIR,GERMANY,21,2024-09,0,5,0.0,0.4,0.2,False,
ABACAVIR,GHANA,21,2024-09,0,3,0.0,0.2,0.1,False,
ABACAVIR,GUATEMALA,21,2024-09,0,2,0.0,0.1,0.1,False,
ABACAVIR,GUINEA,21,2024-09,0,6,0.0,0.3,0.5,False,
ABACAVIR,HAITI,21,2024-09,0,4,0.0,0.2,0.1,False,
